date,time,queue_length,queue_time,people_processed,lane_count
18/12/2023 00:00,4:00:00,2,99,31,3
18/12/2023 00:00,4:05:00,0,3,39,6
18/12/2023 00:00,4:10:00,16,29,136,6
18/12/2023 00:00,4:15:00,23,51,147,7
18/12/2023 00:00,4:20:00,25,43,144,7
18/12/2023 00:00,4:25:00,13,55,136,7
18/12/2023 00:00,4:30:00,5,27,90,7
18/12/2023 00:00,4:35:00,9,15,80,7
18/12/2023 00:00,4:40:00,1,31,71,7
18/12/2023 00:00,4:45:00,7,15,79,7
18/12/2023 00:00,4:50:00,4,23,97,7
18/12/2023 00:00,4:55:00,6,7,85,6
18/12/2023 00:00,5:00:00,2,23,63,6
18/12/2023 00:00,5:05:00,1,17,67,6
18/12/2023 00:00,5:10:00,1,29,55,6
18/12/2023 00:00,5:15:00,4,17,72,6
18/12/2023 00:00,5:20:00,5,23,90,6
18/12/2023 00:00,5:25:00,0,18,78,6
18/12/2023 00:00,5:30:00,4,55,88,6
18/12/2023 00:00,5:35:00,10,27,96,6
18/12/2023 00:00,5:40:00,4,47,83,6
18/12/2023 00:00,5:45:00,6,43,117,8
18/12/2023 00:00,5:50:00,8,41,114,8
18/12/2023 00:00,5:55:00,4,47,107,8
18/12/2023 00:00,6:00:00,21,37,84,7
18/12/2023 00:00,6:05:00,5,23,84,8
18/12/2023 00:00,6:10:00,12,43,78,8
18/12/2023 00:00,6:15:00,5,27,119,10
18/12/2023 00:00,6:20:00,14,31,131,10
18/12/2023 00:00,6:25:00,18,27,142,10
18/12/2023 00:00,6:30:00,21,35,166,11
18/12/2023 00:00,6:35:00,21,73,162,11
18/12/2023 00:00,6:40:00,23,65,158,12
18/12/2023 00:00,6:45:00,19,61,153,12
18/12/2023 00:00,6:50:00,26,65,207,12
18/12/2023 00:00,6:55:00,34,51,221,12
18/12/2023 00:00,7:00:00,28,61,192,13
18/12/2023 00:00,7:05:00,38,85,217,14
18/12/2023 00:00,7:10:00,25,57,184,14
18/12/2023 00:00,7:15:00,36,87,158,14
18/12/2023 00:00,7:20:00,40,65,180,14
18/12/2023 00:00,7:25:00,39,71,196,15
18/12/2023 00:00,7:30:00,34,75,205,15
18/12/2023 00:00,7:35:00,19,71,192,15
18/12/2023 00:00,7:40:00,40,59,181,15
18/12/2023 00:00,7:45:00,45,89,265,15
18/12/2023 00:00,7:50:00,58,79,244,15
18/12/2023 00:00,7:55:00,57,79,234,16
18/12/2023 00:00,8:00:00,40,122,236,15
18/12/2023 00:00,8:05:00,31,65,213,15
18/12/2023 00:00,8:10:00,37,76,228,15
18/12/2023 00:00,8:15:00,46,53,237,16
18/12/2023 00:00,8:20:00,37,61,243,17
18/12/2023 00:00,8:25:00,37,119,217,17
18/12/2023 00:00,8:30:00,51,121,263,17
18/12/2023 00:00,8:35:00,25,85,222,17
18/12/2023 00:00,8:40:00,39,83,243,17
18/12/2023 00:00,8:45:00,48,65,242,17
18/12/2023 00:00,8:50:00,45,63,279,17
18/12/2023 00:00,8:55:00,42,63,269,17
18/12/2023 00:00,9:00:00,45,79,244,17
18/12/2023 00:00,9:05:00,46,131,237,17
18/12/2023 00:00,9:10:00,52,131,279,17
18/12/2023 00:00,9:15:00,63,93,271,17
18/12/2023 00:00,9:20:00,40,111,256,17
18/12/2023 00:00,9:25:00,79,141,245,17
18/12/2023 00:00,9:30:00,42,121,238,17
18/12/2023 00:00,9:35:00,55,95,293,17
18/12/2023 00:00,9:40:00,58,91,285,17
18/12/2023 00:00,9:45:00,40,91,294,17
18/12/2023 00:00,9:50:00,52,65,278,17
18/12/2023 00:00,9:55:00,39,69,300,17
18/12/2023 00:00,10:00:00,46,81,266,17
18/12/2023 00:00,10:05:00,46,75,276,17
18/12/2023 00:00,10:10:00,41,63,303,17
18/12/2023 00:00,10:15:00,49,107,303,17
18/12/2023 00:00,10:20:00,30,85,283,17
18/12/2023 00:00,10:25:00,67,85,273,17
18/12/2023 00:00,10:30:00,63,75,292,17
18/12/2023 00:00,10:35:00,29,55,234,17
18/12/2023 00:00,10:40:00,19,49,195,17
18/12/2023 00:00,10:45:00,27,93,202,15
18/12/2023 00:00,10:50:00,26,65,196,14
18/12/2023 00:00,10:55:00,33,79,183,13
18/12/2023 00:00,11:00:00,22,63,169,13
18/12/2023 00:00,11:05:00,47,65,164,13
18/12/2023 00:00,11:10:00,17,77,155,13
18/12/2023 00:00,11:15:00,30,61,163,13
18/12/2023 00:00,11:20:00,40,83,162,13
18/12/2023 00:00,11:25:00,52,107,145,12
18/12/2023 00:00,11:30:00,38,125,145,12
18/12/2023 00:00,11:35:00,28,79,195,12
18/12/2023 00:00,11:40:00,26,51,183,12
18/12/2023 00:00,11:45:00,21,69,167,11
18/12/2023 00:00,11:50:00,23,73,177,11
18/12/2023 00:00,11:55:00,20,57,162,11
18/12/2023 00:00,12:00:00,11,53,150,13
18/12/2023 00:00,12:05:00,28,61,139,13
18/12/2023 00:00,12:10:00,30,47,172,15
18/12/2023 00:00,12:15:00,26,43,188,15
18/12/2023 00:00,12:20:00,14,51,141,15
18/12/2023 00:00,12:25:00,21,57,123,15
18/12/2023 00:00,12:30:00,21,73,130,15
18/12/2023 00:00,12:35:00,20,55,141,15
18/12/2023 00:00,12:40:00,21,53,139,15
18/12/2023 00:00,12:45:00,18,67,142,15
18/12/2023 00:00,12:50:00,36,61,146,15
18/12/2023 00:00,12:55:00,18,45,143,11
18/12/2023 00:00,13:00:00,34,63,177,10
18/12/2023 00:00,13:05:00,27,53,171,11
18/12/2023 00:00,13:10:00,24,81,187,13
18/12/2023 00:00,13:15:00,47,57,184,13
18/12/2023 00:00,13:20:00,34,55,176,13
18/12/2023 00:00,13:25:00,19,69,167,13
18/12/2023 00:00,13:30:00,19,65,174,12
18/12/2023 00:00,13:35:00,24,59,162,12
18/12/2023 00:00,13:40:00,12,59,155,11
18/12/2023 00:00,13:45:00,26,47,181,11
18/12/2023 00:00,13:50:00,32,65,216,11
18/12/2023 00:00,13:55:00,28,49,158,11
18/12/2023 00:00,14:00:00,27,63,111,11
18/12/2023 00:00,14:05:00,30,67,162,10
18/12/2023 00:00,14:10:00,28,75,130,10
18/12/2023 00:00,14:15:00,21,91,156,10
18/12/2023 00:00,14:20:00,22,87,125,10
18/12/2023 00:00,14:25:00,22,75,145,10
18/12/2023 00:00,14:30:00,23,81,129,10
18/12/2023 00:00,14:35:00,27,63,118,10
18/12/2023 00:00,14:40:00,29,73,138,10
18/12/2023 00:00,14:45:00,16,81,128,10
18/12/2023 00:00,14:50:00,13,87,93,10
18/12/2023 00:00,14:55:00,14,57,88,10
18/12/2023 00:00,15:00:00,6,23,132,8
18/12/2023 00:00,15:05:00,8,23,132,6
18/12/2023 00:00,15:10:00,6,29,83,6
18/12/2023 00:00,15:15:00,7,39,72,6
18/12/2023 00:00,15:20:00,6,45,69,6
18/12/2023 00:00,15:25:00,2,25,85,6
18/12/2023 00:00,15:30:00,8,35,69,8
18/12/2023 00:00,15:35:00,10,51,95,10
18/12/2023 00:00,15:40:00,12,49,64,10
18/12/2023 00:00,15:45:00,6,49,53,10
18/12/2023 00:00,15:50:00,8,45,83,10
18/12/2023 00:00,15:55:00,11,47,101,10
18/12/2023 00:00,16:00:00,7,37,74,11
18/12/2023 00:00,16:05:00,11,35,75,11
18/12/2023 00:00,16:10:00,6,71,41,11
18/12/2023 00:00,16:15:00,9,53,80,11
18/12/2023 00:00,16:20:00,8,63,73,11
18/12/2023 00:00,16:25:00,14,87,46,9
18/12/2023 00:00,16:30:00,13,85,76,9
18/12/2023 00:00,16:35:00,10,69,42,10
18/12/2023 00:00,16:40:00,10,77,32,10
18/12/2023 00:00,16:45:00,7,55,36,9
18/12/2023 00:00,16:50:00,3,21,44,9
18/12/2023 00:00,16:55:00,5,87,48,9
18/12/2023 00:00,17:00:00,10,51,76,8
18/12/2023 00:00,17:05:00,7,57,48,7
18/12/2023 00:00,17:10:00,9,77,31,7
18/12/2023 00:00,17:15:00,9,81,60,7
18/12/2023 00:00,17:20:00,4,99,50,6
18/12/2023 00:00,17:25:00,10,69,82,6
18/12/2023 00:00,17:30:00,13,113,62,6
18/12/2023 00:00,17:35:00,20,77,83,6
18/12/2023 00:00,17:40:00,17,73,94,7
18/12/2023 00:00,17:45:00,8,39,85,8
18/12/2023 00:00,17:50:00,6,39,68,8
18/12/2023 00:00,17:55:00,6,63,92,8
